name,playcount,listeners,mbid,url,streamable,tags
John Legend,35284373,2000622,75a72702-a5ef-4513-bca5-c5b944903546,https://www.last.fm/music/John+Legend,0,"soul, rnb, Neo-Soul"
Alanis Morissette,51360271,1983506,4bdcee62-4902-4773-8cd1-e252e2e31225,https://www.last.fm/music/Alanis+Morissette,0,"female vocalists, rock, alternative"
Ramones,77960364,1975791,d6ed7887-a401-47a8-893c-34b967444d26,https://www.last.fm/music/Ramones,0,"punk, punk rock, rock"
Van Halen,44029528,1973190,b665b768-0d83-4363-950c-31ed39317c15,https://www.last.fm/music/Van+Halen,0,"hard rock, classic rock, rock"
Nina Simone,45579185,1972710,2944824d-4c26-476f-a981-be849081942f,https://www.last.fm/music/Nina+Simone,0,"jazz, soul, female vocalists"
Bright Eyes,92374549,1969760,78f797e3-4913-4026-aad0-1cd858bd735b,https://www.last.fm/music/Bright+Eyes,0,"indie, singer-songwriter, folk"
Mumford & Sons,105167001,1957368,c44e9c22-ef82-4a77-9bcd-af6c958446d6,https://www.last.fm/music/Mumford+&+Sons,0,"folk, indie, british"
Ozzy Osbourne,52817919,1950774,8aa5b65a-5b3c-4029-92bf-47a544356934,https://www.last.fm/music/Ozzy+Osbourne,0,"heavy metal, hard rock, metal"
Bryan Adams,30821382,1944823,4dbf5678-7a31-406a-abbe-232f8ac2cd63,https://www.last.fm/music/Bryan+Adams,0,"rock, classic rock, 80s"
Regina Spektor,90045018,1932070,fbb375f9-48bb-4635-824e-4120273b3ba7,https://www.last.fm/music/Regina+Spektor,0,"female vocalists, indie, singer-songwriter"
Aretha Franklin,30315887,1930740,2f9ecbed-27be-40e6-abca-6de49d50299e,https://www.last.fm/music/Aretha+Franklin,0,"soul, female vocalists, jazz"
Good Charlotte,50304003,1925279,b267ca80-034e-4dc1-9ed4-ec45f1fed41d,https://www.last.fm/music/Good+Charlotte,0,"punk rock, pop punk, rock"
Lenny Kravitz,31924255,1920342,0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,https://www.last.fm/music/Lenny+Kravitz,0,"rock, funk, alternative"
Sting,40858021,1909081,7944ed53-2a58-4035-9b93-140a71e41c34,https://www.last.fm/music/Sting,0,"rock, pop, classic rock"
The Postal Service,50675210,1900423,299278d3-25dd-4f30-bae4-5b571c28034d,https://www.last.fm/music/The+Postal+Service,0,"indie, electronic, indie pop"
Hoobastank,30738686,1898516,2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,https://www.last.fm/music/Hoobastank,0,"rock, alternative rock, alternative"
Louis Armstrong,28614492,1888146,eea8a864-fcda-4602-9569-38ab446decd6,https://www.last.fm/music/Louis+Armstrong,0,"jazz, blues, swing"
Sublime,57263019,1885819,c460aa10-87a0-4971-b742-7de0e3c7c2ca,https://www.last.fm/music/Sublime,0,"ska, reggae, punk"
Journey,31320018,1884833,abd506e1-6f2b-4d6f-b937-92c267f6f88b,https://www.last.fm/music/Journey,0,"classic rock, rock, 80s"
Bullet for My Valentine,85668535,1876309,d530dbf9-69b1-404f-98f2-0431104f5a1e,https://www.last.fm/music/Bullet+for+My+Valentine,0,"metalcore, metal, hardcore"
Jet,25448370,1869701,ce9e8a37-2424-404b-ada5-291547fbd807,https://www.last.fm/music/Jet,0,"rock, alternative, alternative rock"
The Flaming Lips,58535177,1859082,1f43d76f-8edf-44f6-aaf1-b65f05ad9402,https://www.last.fm/music/The+Flaming+Lips,0,"indie, seen live, alternative"
The Script,40931691,1849291,4c98aa1b-34eb-4336-987f-5e50aa059c00,https://www.last.fm/music/The+Script,0,"pop rock, irish, rock"
The National,161025413,1847113,664c3e0e-42d8-48c1-b209-1efca19c0325,https://www.last.fm/music/The+National,0,"seen live, indie rock, indie"
Damien Rice,55588713,1834318,2119beb8-6ac5-4f21-82a4-b831c90c0024,https://www.last.fm/music/Damien+Rice,0,"singer-songwriter, acoustic, indie"
Ciara,24712123,1833897,03172286-f7ed-4864-a4db-459cd5ca9790,https://www.last.fm/music/Ciara,0,"rnb, Hip-Hop, pop"
Avenged Sevenfold,107612911,1828048,24e1b53c-3085-4581-8472-0b0088d2508c,https://www.last.fm/music/Avenged+Sevenfold,0,"metalcore, metal, hard rock"
Rick Ross,21304648,1824721,3813b7cf-5550-42bb-a23f-3d6977f7943e,https://www.last.fm/music/Rick+Ross,0,"Hip-Hop, rap, Dirty South"
Elliott Smith,112652395,1816914,03ad1736-b7c9-412a-b442-82536d63a5c4,https://www.last.fm/music/Elliott+Smith,0,"singer-songwriter, indie, folk"
The Cardigans,37220730,1814818,3e55d51d-687f-4a9d-af96-2fabccf802e5,https://www.last.fm/music/The+Cardigans,0,"pop, rock, female vocalists"
Ella Fitzgerald,32201710,1811692,54799c0e-eb45-4eea-996d-c4d71a63c499,https://www.last.fm/music/Ella+Fitzgerald,0,"jazz, female vocalists, blues"
Band of Horses,57167719,1810563,07b6020a-c539-4d68-aeef-f159f3befc76,https://www.last.fm/music/Band+of+Horses,0,"indie, indie rock, seen live"
Justice,61966891,1810136,f9c1cc73-36ba-4f8d-ba12-7d2490608886,https://www.last.fm/music/Justice,0,"electronic, electro, french"
Simple Plan,47012507,1809447,b345af35-205e-4eca-8006-029e5c20127e,https://www.last.fm/music/Simple+Plan,0,"rock, pop punk, punk rock"
Scorpions,56020827,1803871,c3cceeed-3332-4cf0-8c4c-bbde425147b6,https://www.last.fm/music/Scorpions,0,"hard rock, classic rock, rock"
Van Morrison,36930819,1801767,a41ac10f-0a56-4672-9161-b83f9b223559,https://www.last.fm/music/Van+Morrison,0,"classic rock, singer-songwriter, folk"
Leona Lewis,28873561,1799777,8d552dfc-648f-401f-90de-e925013ca537,https://www.last.fm/music/Leona+Lewis,0,"pop, female vocalists, soul"
Passion Pit,51009119,1793672,daeec599-bf5d-4428-994a-e76ba5f86e2f,https://www.last.fm/music/Passion+Pit,0,"electronic, indie, indie pop"
Mika,43998435,1788023,e4914285-d20d-4fc2-ae32-42cba8aeeed0,https://www.last.fm/music/Mika,0,"pop, british, britpop"
Kiss,50413709,1786891,e1f1e33e-2e4c-4d43-b91b-7064068d3283,https://www.last.fm/music/Kiss,0,"hard rock, classic rock, glam rock"
Ray Charles,28263279,1786111,2ce02909-598b-44ef-a456-151ba0a3bd70,https://www.last.fm/music/Ray+Charles,0,"jazz, soul, blues"
Tenacious D,57107414,1778429,148ddea2-6839-4354-8e2c-5dfadf136b7f,https://www.last.fm/music/Tenacious+D,0,"rock, comedy, hard rock"
Tyga,18537814,1776631,ce09ea31-3d4a-4487-a797-e315175457a0,https://www.last.fm/music/Tyga,0,"Hip-Hop, rap, hip hop"
B.o.B,26494046,1770924,bb4d8640-fe09-4019-9068-2b22a086012c,https://www.last.fm/music/B.o.B,0,"Hip-Hop, rap, hip hop"
Duran Duran,32147539,1769207,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,https://www.last.fm/music/Duran+Duran,0,"new wave, 80s, pop"
Tool,137608979,1761871,bbfa1e12-8b61-4ed8-bc6e-52d2298f41a2,https://www.last.fm/music/Tool,0,"Progressive metal, Progressive rock, metal"
Goldfrapp,48880015,1751889,7b885d42-3c41-4f43-9944-a5855ec5155e,https://www.last.fm/music/Goldfrapp,0,"electronic, trip-hop, female vocalists"
